City,Country,Cloudiness,Humidity,Lat,Lon,Temp,Wind_Speed
Vaini,TO,90,94,-21,-175,77,6.0
Rikitea,PF,64,98,-23,-134,81,14.0
Punta Arenas,CL,75,44,-53,-70,58,43.0
Ushuaia,AR,75,54,-54,-68,57,12.0
Hermanus,ZA,0,71,-34,19,62,2.0
Bredasdorp,ZA,0,68,-34,20,68,3.0
Kruisfontein,ZA,0,95,-34,24,70,6.0
Port Elizabeth,ZA,0,88,-33,25,66,5.0
Port Alfred,ZA,80,90,-33,26,70,3.0
East London,ZA,75,94,-33,27,68,5.0
Busselton,AU,0,100,-33,115,64,17.0
Albany,AU,0,93,-35,117,56,7.0
New Norfolk,AU,40,77,-42,147,59,17.0
Hobart,AU,40,77,-42,147,59,17.0
Bluff,NZ,92,95,-46,168,61,7.0
Cape Town,ZA,20,88,-33,18,66,17.0
Mar del Plata,AR,0,36,-46,-67,78,22.0
Chuy,UY,0,70,-33,-53,77,11.0
Saint-Philippe,RE,75,78,-21,55,79,5.0
Cidreira,BR,20,70,-30,-50,83,8.0
Castro,CL,92,82,-42,-73,62,3.0
Arraial do Cabo,BR,20,66,-22,-42,86,5.0
Mahebourg,MU,75,83,-20,57,80,10.0
Mount Gambier,AU,100,78,-37,140,60,4.0
Tuatapere,NZ,88,100,-46,167,58,3.0
Coihaique,CL,90,63,-45,-72,64,4.0
Rio Gallegos,AR,40,18,-51,-69,71,34.0
Rawson,AR,0,28,-43,-65,90,12.0
Rocha,UY,0,52,-34,-54,80,8.0
Kaitangata,NZ,92,89,-46,169,55,2.0
Avarua,CK,75,88,-21,-159,78,3.0
Viedma,AR,0,41,-40,-62,83,9.0
Jamestown,SH,36,100,-15,-5,74,10.0
Souillac,MU,75,83,-20,57,80,10.0
Port Lincoln,AU,48,100,-34,135,62,7.0
Portland,AU,0,59,-33,149,59,4.0
Te Anau,NZ,92,96,-45,167,51,2.0
Ranfurly,NZ,92,96,-45,170,52,3.0
Ancud,CL,48,79,-41,-73,64,5.0
San Carlos de Bariloche,AR,0,27,-41,-71,73,23.0
Tres Arroyos,AR,32,58,-38,-60,79,6.0
Saldanha,ZA,0,77,-33,17,66,21.0
Margate,ZA,36,88,-30,30,74,16.0
Lakes Entrance,AU,0,79,-37,147,65,13.0
Westport,NZ,76,98,-41,171,60,3.0
Lebu,CL,0,91,-37,-73,59,14.0
Rengo,CL,0,47,-34,-70,78,4.0
Chivilcoy,AR,76,82,-34,-60,78,3.0
Rio Grande,BR,40,61,-32,-52,82,13.0
Luderitz,NA,0,82,-26,15,62,16.0
Richards Bay,ZA,0,65,-28,32,78,9.0
Bambous Virieux,MU,75,83,-20,57,80,10.0
Flinders,AU,90,82,-34,150,66,4.0
Murray Bridge,AU,92,98,-35,139,63,10.0
Goulburn,AU,0,70,-34,149,55,3.0
Port Macquarie,AU,0,100,-31,152,62,6.0
Ahipara,NZ,64,95,-35,173,68,13.0
Coquimbo,CL,0,64,-29,-71,69,11.0
Vicuna,CL,0,64,-30,-70,69,11.0
Reconquista,AR,12,59,-29,-59,88,4.0
Tramandai,BR,20,70,-29,-50,83,8.0
Sao Joao da Barra,BR,40,59,-21,-41,89,13.0
Calvinia,ZA,0,27,-31,19,74,8.0
Richmond,ZA,36,73,-29,30,69,2.0
Beloha,MG,92,88,-25,45,76,14.0
Carnarvon,AU,0,95,-24,113,76,12.0
Geraldton,AU,0,77,-28,114,64,9.0
Northam,AU,0,40,-31,116,71,5.0
Yulara,AU,0,33,-25,130,75,8.0
Broken Hill,AU,0,62,-31,141,63,11.0
Narrabri,AU,20,72,-30,149,71,6.0
Byron Bay,AU,40,78,-28,153,73,8.0
Alofi,NU,36,100,-19,-169,71,1.0
Puerto Ayora,EC,20,66,0,-90,86,11.0
Taltal,CL,0,47,-25,-70,72,4.0
Presidencia Roque Saenz Pena,AR,48,65,-26,-60,86,5.0
Carambei,BR,56,99,-24,-50,72,2.0
Vila Velha,BR,20,70,-3,-38,86,11.0
Walvis Bay,NA,0,77,-22,14,62,12.0
Aranos,NA,56,33,-24,19,81,8.0
Lydenburg,ZA,80,71,-25,30,64,1.0
Vangaindrano,MG,80,100,-23,47,72,1.0
Port Hedland,AU,90,78,-20,118,82,5.0
Mount Isa,AU,64,88,-20,139,75,4.0
Biloela,AU,24,94,-24,150,68,3.0
Koumac,NC,32,96,-20,164,75,3.0
Vao,NC,32,100,-22,167,78,0.0
Teahupoo,PF,20,66,-17,-149,84,3.0
Pisco,PE,0,65,-13,-76,80,23.0
Iquique,CL,0,50,-20,-70,77,21.0
Mayor Pablo Lagerenza,PY,32,70,-19,-60,89,13.0
Cardoso,BR,12,69,-20,-49,88,5.0
Serra,BR,0,62,-20,-40,87,18.0
Caravelas,BR,0,100,-17,-39,81,14.0
Georgetown,SH,88,100,-7,-14,78,11.0
Opuwo,NA,0,16,-18,13,79,11.0
Grootfontein,NA,0,31,-19,18,78,7.0
Shurugwi,ZW,92,97,-19,30,66,8.0
Mocuba,MZ,76,96,-16,36,76,3.0
Mahanoro,MG,56,82,-19,48,79,3.0
Hithadhoo,MV,68,100,0,73,84,5.0
Kununurra,AU,8,100,-15,128,73,3.0
Mackay,AU,75,88,-21,149,78,3.0
Poum,NC,12,100,-20,164,81,5.0
Isangel,VU,24,100,-19,169,80,4.0
Fare,PF,76,95,-16,-151,83,10.0
Atuona,PF,92,100,-9,-139,79,16.0
Huarmey,PE,8,48,-10,-78,79,4.0
Azangaro,PE,40,36,-14,-70,64,5.0
Pontes e Lacerda,BR,0,73,-15,-59,89,4.0
Rubiataba,BR,0,72,-15,-49,84,3.0
Ibicui,BR,20,63,-14,-39,83,7.0
Maceio,BR,75,74,-9,-35,80,10.0
Namibe,AO,0,100,-15,12,75,14.0
Menongue,AO,56,46,-14,17,77,4.0
Luangwa,ZM,88,95,-12,28,66,4.0
Antalaha,MG,32,86,-14,50,80,11.0
Cap Malheureux,MU,75,83,-19,57,80,10.0
Quatre Cocos,MU,75,83,-20,57,80,10.0
Bambanglipuro,ID,8,95,-7,110,70,2.0
Broome,AU,24,94,-17,122,77,3.0
Port Keats,AU,8,95,-14,129,80,4.0
Alyangula,AU,0,100,-13,136,82,11.0
Samarai,PG,56,100,-10,150,80,2.0
Kirakira,SB,92,100,-10,161,79,14.0
Sola,VU,44,100,-13,167,82,4.0
Faanui,PF,76,98,-16,-151,82,12.0
San Cristobal,EC,76,100,-1,-79,64,3.0
Chimbote,PE,8,80,-9,-78,73,7.0
Manoel Urbano,BR,32,63,-8,-69,87,2.0
Aripuana,BR,36,35,-9,-60,95,2.0
Jaguarari,BR,0,32,-10,-40,84,5.0
Olinda,BR,40,70,-22,-43,84,12.0
Luanda,AO,40,88,-8,13,78,1.0
Saurimo,AO,92,93,-9,20,68,3.0
Luwingu,ZM,100,96,-10,29,63,5.0
Lindi,TZ,8,95,-10,39,72,2.0
Ambilobe,MG,64,99,-13,49,73,0.0
Victoria,SC,40,78,-4,55,82,5.0
Waingapu,ID,36,100,-9,120,70,2.0
Merauke,ID,88,100,-8,140,75,4.0
Honiara,SB,40,94,-9,159,77,1.0
Morropon,PE,12,63,-5,-79,77,2.0
Benjamin Constant,BR,40,59,-4,-70,90,8.0
Novo Aripuana,BR,20,54,-5,-60,89,1.0
Itupiranga,BR,20,53,-5,-49,95,4.0
Boa Viagem,BR,56,81,-5,-39,77,6.0
Cabedelo,BR,75,78,-6,-34,78,6.0
Port-Gentil,GA,20,96,0,8,80,12.0
Mayumba,GA,80,100,-3,10,77,4.0
Ilebo,CD,32,84,-4,20,75,2.0
Mwandiga,TZ,100,100,-4,29,70,3.0
Micheweni,TZ,80,100,-4,39,82,5.0
Meulaboh,ID,20,100,4,96,78,3.0
Mlonggo,ID,80,100,-6,110,73,4.0
Sinjai,ID,44,100,-5,120,71,2.0
Amahai,ID,36,100,-3,129,82,5.0
Kiunga,PG,76,98,-6,141,70,1.0
Kimbe,PG,92,100,-5,150,78,1.0
Buala,SB,88,100,-8,159,78,4.0
Ixtapa,MX,0,53,20,-105,79,2.0
Pedernales,EC,80,84,0,-80,79,6.0
Mitu,CO,24,47,1,-70,90,2.0
Boa Vista,BR,75,37,2,-60,96,5.0
Touros,BR,68,83,-5,-35,84,11.0
Harper,LR,0,93,4,-7,83,9.0
Takoradi,GH,68,96,4,-1,82,8.0
Kango,GA,76,90,0,10,74,1.0
Boende,CD,12,92,0,20,74,2.0
Kilembe,UG,68,100,0,30,65,0.0
Garissa,KE,20,70,0,39,80,9.0
Mogadishu,SO,0,98,2,45,80,19.0
Thinadhoo,MV,88,100,0,72,83,9.0
Matara,LK,0,96,5,80,77,7.0
Payakumbuh,ID,56,93,0,100,69,1.0
Pontianak,ID,24,100,0,109,76,2.0
Palu,ID,56,95,0,119,64,1.0
Sorong,ID,88,100,0,131,82,1.0
Vanimo,PG,68,100,-2,141,82,9.0
Kavieng,PG,80,100,-2,150,83,2.0
Kieta,PG,92,100,-6,155,77,2.0
Hilo,US,90,83,19,-155,58,11.0
Cabo San Lucas,MX,75,43,22,-109,71,16.0
Coahuayana,MX,0,27,18,-100,86,3.0
Puerto Escondido,MX,20,69,15,-97,82,10.0
La Palma,PA,0,55,8,-78,88,10.0
Lethem,GY,20,33,3,-59,95,7.0
Sao Filipe,CV,0,99,14,-24,69,9.0
Buchanan,LR,40,66,5,-10,84,11.0
Accra,GH,20,70,5,0,84,10.0
Nkongsamba,CM,100,96,4,9,68,2.0
Kouango,CF,36,80,4,19,76,10.0
Shakiso,ET,88,96,5,38,56,2.0
Hobyo,SO,92,87,5,48,77,10.0
Bandarbeyla,SO,0,100,9,50,76,6.0
Eydhafushi,MV,44,99,5,73,82,12.0
Weligama,LK,0,96,5,80,77,7.0
Banda Aceh,ID,24,100,5,95,72,2.0
Sibu,MY,75,94,2,111,77,1.0
Parangan,PH,0,100,5,119,82,8.0
Pundaguitan,PH,48,100,6,126,81,7.0
Lorengau,PG,80,100,-2,147,82,4.0
Namatanai,PG,80,100,-3,152,81,8.0
Butaritari,KI,68,100,3,172,82,13.0
Kapaa,US,90,78,22,-159,69,26.0
San Patricio,MX,0,68,19,-104,82,4.0
La Libertad,SV,20,46,13,-89,87,9.0
Portobelo,PA,40,45,9,-79,89,16.0
Carora,VE,100,33,10,-70,85,7.0
Rio Claro,TT,75,61,10,-61,82,5.0
Sinnamary,GF,32,95,5,-52,79,8.0
Carutapera,BR,48,92,-1,-46,79,4.0
