Symbol,Date,Close,High,Low,Open,Volume
IBM,2017-01-02,165.99,165.99,165.99,165.99,0
IBM,2017-01-03,167.19,167.87,166.01,167.0,2934119
IBM,2017-01-04,169.26,169.87,167.36,167.77,3381432
IBM,2017-01-05,168.7,169.39,167.26,169.25,2682181
IBM,2017-01-06,169.53,169.92,167.52,168.69,2945536
IBM,2017-01-09,167.65,169.8,167.62,169.47,3189413
IBM,2017-01-10,165.52,168.09,165.34,167.98,4118194
IBM,2017-01-11,167.75,167.76,165.6,166.05,3599464
IBM,2017-01-12,167.95,168.01,165.56,167.77,2927953
IBM,2017-01-13,167.34,168.48,166.875,167.97,2875319
IBM,2017-01-16,167.34,167.34,167.34,167.34,0
IBM,2017-01-17,167.89,168.18,166.1201,166.69,3315305
IBM,2017-01-18,166.8,168.59,166.69,167.45,4005776
IBM,2017-01-19,166.81,167.45,165.8,166.96,6947882
IBM,2017-01-20,170.55,170.64,166.0,167.81,12607197
IBM,2017-01-23,171.03,171.25,170.01,170.08,5477519
IBM,2017-01-24,175.9,176.0,171.16,171.36,6951386
IBM,2017-01-25,178.29,179.25,176.13,176.26,5922462
IBM,2017-01-26,178.66,178.88,177.51,178.06,3063924
IBM,2017-01-27,177.3,179.2,177.3,178.47,3482110
IBM,2017-01-30,175.8,177.07,174.5768,176.98,4093755
IBM,2017-01-31,174.52,175.58,173.61,175.05,4134573
IBM,2017-02-01,174.29,175.7025,172.89,175.0,2795445
IBM,2017-02-02,174.58,174.97,173.55,174.23,2620386
IBM,2017-02-03,175.82,176.34,174.89,175.0,3309258
IBM,2017-02-06,175.86,175.98,174.38,175.31,2650535
IBM,2017-02-07,178.46,178.62,175.9,176.0,3873250
IBM,2017-02-08,176.17,177.5,175.88,177.5,2913126
IBM,2017-02-09,177.21,177.8,175.91,176.17,3090710
IBM,2017-02-10,178.68,178.8701,176.76,177.37,2930510
IBM,2017-02-13,179.36,179.9,178.84,179.24,3093261
IBM,2017-02-14,180.13,180.13,178.35,178.57,2775858
IBM,2017-02-15,181.68,181.92,179.81,180.2,2914240
IBM,2017-02-16,181.43,182.79,180.87,181.45,3251547
IBM,2017-02-17,180.67,181.57,180.0,181.25,3552305
IBM,2017-02-20,180.67,180.67,180.67,180.67,0
IBM,2017-02-21,180.26,180.79,179.12,180.6,4480199
IBM,2017-02-22,181.15,181.34,180.09,180.09,3020540
